ws_bin,"[-15, 15)","[15, 45)","[45, 75)","[75, 105)","[105, 135)","[135, 165)","[165, 195)","[195, 225)","[225, 255)","[255, 285)","[285, 315)","[315, 345)"
"[0, 6)",0.10614331513733645,0.09539901221731219,0.12425266441382896,0.08777402304826272,0.05510787626722121,0.028767004592323023,0.03621869855298501,0.04566328741010311,0.0458365826184906,0.06212633220691448,0.14842734598388355,0.14331513733645265
"[6, 12)",0.0013863616670999046,0.0007798284377436964,0.0005198856251624642,0.0006065332293562083,0.0004332380209687202,0.0,0.00034659041677497616,0.0002599428125812321,0.0010397712503249284,0.002339485313231089,0.009704531669699333,0.002686075730006065
"[12, 18)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.664760419374404e-05,8.664760419374404e-05,0.00034659041677497616,0.00034659041677497616
